CUSTNO,NAME,SUBSIDIARY_SHORT,CLINIC_STATE,CLINIC_CITY
10024587,ABA CENTERS OF AMERICA,ABACOA,ABA CENTERS OF AMERICA,
10026317,ABA CENTERS OF FLORIDA,ABACFL,ABA CENTERS OF FLORIDA,
10032558,ABACCT - DX,ABACCT,ABACCT , DX
10032538,ABACDE - DX,ABACDE,ABACDE , DX
10027594,ABACFL - DX,ABACFL,ABACFL , DX
10028623,ABACGA - DX,ABACGA,ABACGA , DX
10027596,ABACNJ - DX,ABACNJ,ABACNJ , DX
10027593,ABACOA - DX,ABACOA,ABACOA , DX
10027595,ABACPA - DX,ABACPA,ABACPA , DX
10032624,ABACPR - DX,ABACPR,ABACPR , DX
10032584,ABACRI - DX,ABACRI,ABACRI , DX
10028619,ABACTN - DX,ABACTN,ABACTN , DX
10028620,ABACTX - DX,ABACTX,ABACTX , DX
10028624,ABACVA - DX,ABACVA,ABACVA , DX
10034227,ABACWA - DX,ABACWA,ABACWA , DX
10031808,CT-GLASTONBURY-ABACCT,ABACCT,CT,GLASTONBURY
10031834,CT-STAMFORD-ABACCT,ABACCT,CT,STAMFORD
10032284,CT-TRUMBULL-ABACCT,ABACCT,CT,TRUMBULL
10028613,DC-WASHINGTON-ABACVA,ABACVA,DC,WASHINGTON
10030495,DE-NEW CASTLE-ABACDE,ABACDE,DE,NEW CASTLE
10027384,FL-BOCA RATON-ABACFL,ABACFL,FL,BOCA RATON
10032288,FL-BOYNTON BEACH-ABACFL,ABACFL,FL,BOYNTON BEACH
10031062,FL-CELEBRATION-ABACFL,ABACFL,FL,CELEBRATION
10027700,FL-DORAL-ABACFL,ABACFL,FL,DORAL
10031272,FL-JACKSONVILLE-ABACFL,ABACFL,FL,JACKSONVILLE
10027385,FL-JENSEN BEACH-ABACFL,ABACFL,FL,JENSEN BEACH
10031273,FL-LONGWOOD-ABACFL,ABACFL,FL,LONGWOOD
10032289,FL-MIAMI-ABACFL,ABACFL,FL,MIAMI
10027386,FL-MIRAMAR-ABACFL,ABACFL,FL,MIRAMAR
10032292,FL-OAKLAND PARK-ABACFL,ABACFL,FL,OAKLAND PARK
10028196,FL-ORLANDO-ABACFL,ABACFL,FL,ORLANDO
10031295,FL-ROYAL PALM BEACH-ABACFL,ABACFL,FL,ROYAL PALM BEACH
10031508,FL-TAMARAC-ABACFL,ABACFL,FL,TAMARAC
10027612,FL-TAMPA-ABACFL,ABACFL,FL,TAMPA
10031288,FL-WESLEY CHAPEL-ABACFL,ABACFL,FL,WESLEY CHAPEL
10028609,GA-ALPHARETTA-ABACGA,ABACGA,GA,ALPHARETTA
10028610,GA-BUCKHEAD-ABACGA,ABACGA,GA,BUCKHEAD
10031830,GA-COLUMBUS-ABACGA,ABACGA,GA,COLUMBUS
10031747,GA-LAWRENCEVILLE-ABACGA,ABACGA,GA,LAWRENCEVILLE
10032294,GA-MARIETTA-ABACGA,ABACGA,GA,MARIETTA
10031843,GA-MCDONOUGH-ABACGA,ABACGA,GA,MCDONOUGH
10031841,GA-PEACHTREE CITY-ABACGA,ABACGA,GA,PEACHTREE CITY
10031430,GA-RIVERDALE-ABACGA,ABACGA,GA,RIVERDALE
10031688,GA-TUCKER-ABACGA,ABACGA,GA,TUCKER
10031833,GA-WOODSTOCK-ABACGA,ABACGA,GA,WOODSTOCK
10026526,MA-BRAINTREE-ABACOA,ABACOA,MA,BRAINTREE
10027599,MA-CAMBRIDGE-ABACOA,ABACOA,MA,CAMBRIDGE
10030229,MA-CHARLESTOWN-ABACOA,ABACOA,MA,CHARLESTOWN
10031685,MA-FITCHBURG-ABACOA,ABACOA,MA,FITCHBURG
10030987,MA-FOXBOROUGH-ABACOA,ABACOA,MA,FOXBOROUGH
10031114,MA-MILFORD-ABACOA,ABACOA,MA,MILFORD
10026522,MA-PEABODY-ABACOA,ABACOA,MA,PEABODY
10032290,MA-TEWKSBURY-ABACOA,ABACOA,MA,TEWKSBURY
10025604,MA-WELLESLEY HILLS-ABACOA,ABACOA,MA,WELLESLEY HILLS
10026524,MA-WORCESTER-ABACOA,ABACOA,MA,WORCESTER
10026443,NH-BEDFORD-ABACOA,ABACOA,NH,BEDFORD
10025603,NH-NASHUA-ABACOA,ABACOA,NH,NASHUA
10026513,NH-ROCHESTER-ABACOA,ABACOA,NH,ROCHESTER
10026525,NH-SALEM-ABACOA,ABACOA,NH,SALEM
10030983,NJ-BRIDGEWATER-ABACNJ,ABACNJ,NJ,BRIDGEWATER
10028342,NJ-EDISON-ABACNJ,ABACNJ,NJ,EDISON
10031292,NJ-FREEHOLD-ABACNJ,ABACNJ,NJ,FREEHOLD
10028252,NJ-HACKENSACK-ABACNJ,ABACNJ,NJ,HACKENSACK
10028551,NJ-HOBOKEN-ABACNJ,ABACNJ,NJ,HOBOKEN
10030981,NJ-MONMOUTH JUNCTION-ABACNJ,ABACNJ,NJ,MONMOUTH JUNCTION
10027464,NJ-MOUNT LAUREL-ABACNJ,ABACNJ,NJ,MOUNT LAUREL
10031293,NJ-SEWELL-ABACNJ,ABACNJ,NJ,SEWELL
10031479,NJ-WEST ORANGE-ABACNJ,ABACNJ,NJ,WEST ORANGE
