STATE_NAME,MSA_NAME,MSA_CODE,CREATED_AT
Alabama,Anniston-Oxford,11500,2026-03-02 06:44:59.841 -0500
Alabama,Auburn-Opelika,12220,2026-03-02 06:44:59.841 -0500
Alabama,Birmingham,13820,2026-03-02 06:44:59.841 -0500
Alabama,Daphne-Fairhope-Foley,19300,2026-03-02 06:44:59.841 -0500
Alabama,Decatur,19460,2026-03-02 06:44:59.841 -0500
Alabama,Dothan,20020,2026-03-02 06:44:59.841 -0500
Alabama,Florence-Muscle Shoals,22520,2026-03-02 06:44:59.841 -0500
Alabama,Gadsden,23460,2026-03-02 06:44:59.841 -0500
Alabama,Huntsville,26620,2026-03-02 06:44:59.841 -0500
Alabama,Mobile,33660,2026-03-02 06:44:59.841 -0500
Alabama,Montgomery,33860,2026-03-02 06:44:59.841 -0500
Alabama,Tuscaloosa,46220,2026-03-02 06:44:59.841 -0500
Alaska,Anchorage,11260,2026-03-02 06:44:59.841 -0500
Alaska,Fairbanks-College,21820,2026-03-02 06:44:59.841 -0500
Arizona,Flagstaff,22380,2026-03-02 06:44:59.841 -0500
Arizona,Lake Havasu City-Kingman,29420,2026-03-02 06:44:59.841 -0500
Arizona,Phoenix-Mesa-Chandler,38060,2026-03-02 06:44:59.841 -0500
Arizona,Prescott Valley-Prescott,39150,2026-03-02 06:44:59.841 -0500
Arizona,Sierra Vista-Douglas,43420,2026-03-02 06:44:59.841 -0500
Arizona,Tucson,46060,2026-03-02 06:44:59.841 -0500
Arizona,Yuma,49740,2026-03-02 06:44:59.841 -0500
Arkansas,Fayetteville-Springdale-Rogers,22220,2026-03-02 06:44:59.841 -0500
Arkansas,Hot Springs,26300,2026-03-02 06:44:59.841 -0500
Arkansas,Jonesboro,27860,2026-03-02 06:44:59.841 -0500
Arkansas,Little Rock-North Little Rock-Conway,30780,2026-03-02 06:44:59.841 -0500
Arkansas-Oklahoma,Fort Smith,22900,2026-03-02 06:44:59.841 -0500
Arkansas-Texas,Texarkana,45500,2026-03-02 06:44:59.841 -0500
California,Bakersfield-Delano,12540,2026-03-02 06:44:59.841 -0500
California,Chico,17020,2026-03-02 06:44:59.841 -0500
California,El Centro,20940,2026-03-02 06:44:59.841 -0500
California,Fresno,23420,2026-03-02 06:44:59.841 -0500
California,Hanford-Corcoran,25260,2026-03-02 06:44:59.841 -0500
California,Los Angeles-Long Beach-Anaheim,31080,2026-03-02 06:44:59.841 -0500
California,Merced,32900,2026-03-02 06:44:59.841 -0500
California,Modesto,33700,2026-03-02 06:44:59.841 -0500
California,Napa,34900,2026-03-02 06:44:59.841 -0500
California,Oxnard-Thousand Oaks-Ventura,37100,2026-03-02 06:44:59.841 -0500
California,Redding,39820,2026-03-02 06:44:59.841 -0500
California,Riverside-San Bernardino-Ontario,40140,2026-03-02 06:44:59.841 -0500
California,Sacramento-Roseville-Folsom,40900,2026-03-02 06:44:59.841 -0500
California,Salinas,41500,2026-03-02 06:44:59.841 -0500
California,San Diego-Chula Vista-Carlsbad,41740,2026-03-02 06:44:59.841 -0500
California,San Francisco-Oakland-Fremont,41860,2026-03-02 06:44:59.841 -0500
California,San Jose-Sunnyvale-Santa Clara,41940,2026-03-02 06:44:59.841 -0500
California,San Luis Obispo-Paso Robles,42020,2026-03-02 06:44:59.841 -0500
California,Santa Cruz-Watsonville,42100,2026-03-02 06:44:59.841 -0500
California,Santa Maria-Santa Barbara,42200,2026-03-02 06:44:59.841 -0500
California,Santa Rosa-Petaluma,42220,2026-03-02 06:44:59.841 -0500
California,Stockton-Lodi,44700,2026-03-02 06:44:59.841 -0500
California,Vallejo,46700,2026-03-02 06:44:59.841 -0500
California,Visalia,47300,2026-03-02 06:44:59.841 -0500
California,Yuba City,49700,2026-03-02 06:44:59.841 -0500
Colorado,Boulder,14500,2026-03-02 06:44:59.841 -0500
Colorado,Colorado Springs,17820,2026-03-02 06:44:59.841 -0500
Colorado,Denver-Aurora-Centennial,19740,2026-03-02 06:44:59.841 -0500
Colorado,Fort Collins-Loveland,22660,2026-03-02 06:44:59.841 -0500
Colorado,Grand Junction,24300,2026-03-02 06:44:59.841 -0500
Colorado,Greeley,24540,2026-03-02 06:44:59.841 -0500
Colorado,Pueblo,39380,2026-03-02 06:44:59.841 -0500
Connecticut,Bridgeport-Stamford-Danbury,14860,2026-03-02 06:44:59.841 -0500
Connecticut,Hartford-West Hartford-East Hartford,25540,2026-03-02 06:44:59.841 -0500
Connecticut,New Haven,35300,2026-03-02 06:44:59.841 -0500
Connecticut,Norwich-New London-Willimantic,35980,2026-03-02 06:44:59.841 -0500
Delaware,Dover,20100,2026-03-02 06:44:59.841 -0500
Florida,Cape Coral-Fort Myers,15980,2026-03-02 06:44:59.841 -0500
Florida,Crestview-Fort Walton Beach-Destin,18880,2026-03-02 06:44:59.841 -0500
Florida,Deltona-Daytona Beach-Ormond Beach,19660,2026-03-02 06:44:59.841 -0500
Florida,Gainesville,23540,2026-03-02 06:44:59.841 -0500
Florida,Homosassa Springs,26140,2026-03-02 06:44:59.841 -0500
Florida,Jacksonville,27260,2026-03-02 06:44:59.841 -0500
Florida,Lakeland-Winter Haven,29460,2026-03-02 06:44:59.841 -0500
Florida,Miami-Fort Lauderdale-West Palm Beach,33100,2026-03-02 06:44:59.841 -0500
Florida,Naples-Marco Island,34940,2026-03-02 06:44:59.841 -0500
Florida,North Port-Bradenton-Sarasota,35840,2026-03-02 06:44:59.841 -0500
Florida,Ocala,36100,2026-03-02 06:44:59.841 -0500
Florida,Orlando-Kissimmee-Sanford,36740,2026-03-02 06:44:59.841 -0500
Florida,Palm Bay-Melbourne-Titusville,37340,2026-03-02 06:44:59.841 -0500
Florida,Panama City-Panama City Beach,37460,2026-03-02 06:44:59.841 -0500
Florida,Pensacola-Ferry Pass-Brent,37860,2026-03-02 06:44:59.841 -0500
