PARENT_NAME,PAYER_NAME,PAYER_ID,CREATED_AT
BlueCross BlueShield Tennessee,Shared Health,1162,2026-03-02 07:06:46.961 -0500
BlueCross BlueShield Tennessee,,,2026-03-02 07:06:46.961 -0500
BlueCross BlueShield Wyoming,BlueCross BlueShield Wyoming,92,2026-03-02 07:06:46.961 -0500
BlueCross BlueShield Wyoming,,,2026-03-02 07:06:46.961 -0500
BlueCross Idaho,BlueCross Idaho,100,2026-03-02 07:06:46.961 -0500
BlueCross Idaho,,,2026-03-02 07:06:46.961 -0500
Bluegrass Care Navigators,Bluegrass PACE Care,1200,2026-03-02 07:06:46.961 -0500
Bluegrass Care Navigators,,,2026-03-02 07:06:46.961 -0500
Bluestem Communities,Bluestem PACE,1056,2026-03-02 07:06:46.961 -0500
Bluestem Communities,,,2026-03-02 07:06:46.961 -0500
BoldAge PACE,Beacon of LIFE,1011,2026-03-02 07:06:46.961 -0500
BoldAge PACE,,,2026-03-02 07:06:46.961 -0500
Boston Medical Center,WellSense Health,970,2026-03-02 07:06:46.961 -0500
Boston Medical Center,,,2026-03-02 07:06:46.961 -0500
Broward Health and Memorial Healthcare,Community Care,811,2026-03-02 07:06:46.961 -0500
Broward Health and Memorial Healthcare,,,2026-03-02 07:06:46.961 -0500
C and O Employees' Hospital Association,C and O Employees' Hospital Association,108,2026-03-02 07:06:46.961 -0500
C and O Employees' Hospital Association,,,2026-03-02 07:06:46.961 -0500
CHRISTUS Health,CHRISTUS Health,870,2026-03-02 07:06:46.961 -0500
CHRISTUS Health,,,2026-03-02 07:06:46.961 -0500
CVS Health,Aetna,8,2026-03-02 07:06:46.961 -0500
CVS Health,,,2026-03-02 07:06:46.961 -0500
Calvo's Insurance Underwriters,Calvo's SelectCare,1028,2026-03-02 07:06:46.961 -0500
Calvo's Insurance Underwriters,,,2026-03-02 07:06:46.961 -0500
Cambia Health Solutions,Asuris Northwest Health,51,2026-03-02 07:06:46.961 -0500
Cambia Health Solutions,BridgeSpan Health,1167,2026-03-02 07:06:46.961 -0500
Cambia Health Solutions,Regence BlueCross BlueShield (OR),521,2026-03-02 07:06:46.961 -0500
Cambia Health Solutions,Regence BlueCross BlueShield (UT),522,2026-03-02 07:06:46.961 -0500
Cambia Health Solutions,Regence BlueShield (ID),520,2026-03-02 07:06:46.961 -0500
Cambia Health Solutions,Regence BlueShield (WA),523,2026-03-02 07:06:46.961 -0500
Cambia Health Solutions,,,2026-03-02 07:06:46.961 -0500
Cambridge Health,Elder Service / Cambridge Health,203,2026-03-02 07:06:46.961 -0500
Cambridge Health,,,2026-03-02 07:06:46.961 -0500
Capital BlueCross,Avalon,1035,2026-03-02 07:06:46.961 -0500
Capital BlueCross,Capital BlueCross,115,2026-03-02 07:06:46.961 -0500
Capital BlueCross,,,2026-03-02 07:06:46.961 -0500
Capital District Physicians' Health Plan,Capital District Physicians' Health Plan,116,2026-03-02 07:06:46.961 -0500
Capital District Physicians' Health Plan,,,2026-03-02 07:06:46.961 -0500
Capital Healthcare,Capital Health LIFE,790,2026-03-02 07:06:46.961 -0500
Capital Healthcare,,,2026-03-02 07:06:46.961 -0500
Care Resources,Care Resources,121,2026-03-02 07:06:46.961 -0500
Care Resources,,,2026-03-02 07:06:46.961 -0500
CareFirst,CareFirst BlueCross BlueShield,122,2026-03-02 07:06:46.961 -0500
CareFirst,,,2026-03-02 07:06:46.961 -0500
CareNu,SECUR Health,1253,2026-03-02 07:06:46.961 -0500
CareNu,,,2026-03-02 07:06:46.961 -0500
CareOregon,CareOregon,120,2026-03-02 07:06:46.961 -0500
CareOregon,Columbia Pacific CCO,899,2026-03-02 07:06:46.961 -0500
CareOregon,Jackson Care Connect CCO,900,2026-03-02 07:06:46.961 -0500
CareOregon,Yamhill County CCO,901,2026-03-02 07:06:46.961 -0500
CareOregon,,,2026-03-02 07:06:46.961 -0500
CareSource Management Group,CareSource,184,2026-03-02 07:06:46.961 -0500
CareSource Management Group,CareSource WI (Common Ground Healthcare),946,2026-03-02 07:06:46.961 -0500
CareSource Management Group,,,2026-03-02 07:06:46.961 -0500
Carle Foundation,FirstCarolinaCare,223,2026-03-02 07:06:46.961 -0500
