STATE_NAME,CREATED_AT
Alabama,2026-03-02 06:52:55.249 -0500
Alaska,2026-03-02 06:52:55.249 -0500
Arizona,2026-03-02 06:52:55.249 -0500
Arkansas,2026-03-02 06:52:55.249 -0500
Arkansas-Oklahoma,2026-03-02 06:52:55.249 -0500
Arkansas-Texas,2026-03-02 06:52:55.249 -0500
California,2026-03-02 06:52:55.249 -0500
Colorado,2026-03-02 06:52:55.249 -0500
Connecticut,2026-03-02 06:52:55.249 -0500
Delaware,2026-03-02 06:52:55.249 -0500
District of Columbia,2026-03-02 06:52:55.249 -0500
Kansas,2026-03-02 06:52:55.249 -0500
Kansas-Missouri,2026-03-02 06:52:55.249 -0500
Kentucky,2026-03-02 06:52:55.249 -0500
Kentucky-Ohio-West Virginia,2026-03-02 06:52:55.249 -0500
Kentucky-Tennessee,2026-03-02 06:52:55.249 -0500
Louisiana,2026-03-02 06:52:55.249 -0500
Maine,2026-03-02 06:52:55.249 -0500
Maryland,2026-03-02 06:52:55.249 -0500
Maryland-New Jersey-Pennsylvania-Delaware,2026-03-02 06:52:55.249 -0500
Maryland-Virginia-West Virginia-District of Columbia,2026-03-02 06:52:55.249 -0500
Maryland-West Virginia,2026-03-02 06:52:55.249 -0500
Massachusetts,2026-03-02 06:52:55.249 -0500
Nebraska,2026-03-02 06:52:55.249 -0500
Nevada,2026-03-02 06:52:55.249 -0500
New Hampshire,2026-03-02 06:52:55.249 -0500
New Jersey,2026-03-02 06:52:55.249 -0500
New Jersey-New York,2026-03-02 06:52:55.249 -0500
New Jersey-Pennsylvania,2026-03-02 06:52:55.249 -0500
New Mexico,2026-03-02 06:52:55.249 -0500
New York,2026-03-02 06:52:55.249 -0500
North Carolina,2026-03-02 06:52:55.249 -0500
North Carolina-South Carolina,2026-03-02 06:52:55.249 -0500
North Carolina-Virginia,2026-03-02 06:52:55.249 -0500
South Dakota,2026-03-02 06:52:55.249 -0500
Tennessee,2026-03-02 06:52:55.249 -0500
Tennessee-Virginia,2026-03-02 06:52:55.249 -0500
Texas,2026-03-02 06:52:55.249 -0500
Utah,2026-03-02 06:52:55.249 -0500
Vermont,2026-03-02 06:52:55.249 -0500
Virginia,2026-03-02 06:52:55.249 -0500
Virginia-West Virginia,2026-03-02 06:52:55.249 -0500
Washington,2026-03-02 06:52:55.249 -0500
West Virginia,2026-03-02 06:52:55.249 -0500
Wisconsin,2026-03-02 06:52:55.249 -0500
Wyoming,2026-03-02 06:52:55.249 -0500
North Dakota,2026-03-02 06:52:55.249 -0500
Ohio,2026-03-02 06:52:55.249 -0500
Ohio-West Virginia,2026-03-02 06:52:55.249 -0500
Oklahoma,2026-03-02 06:52:55.249 -0500
Oregon,2026-03-02 06:52:55.249 -0500
Oregon-Washington,2026-03-02 06:52:55.249 -0500
Other,2026-03-02 06:52:55.249 -0500
Pennsylvania,2026-03-02 06:52:55.249 -0500
Puerto Rico,2026-03-02 06:52:55.249 -0500
Rhode Island,2026-03-02 06:52:55.249 -0500
South Carolina,2026-03-02 06:52:55.249 -0500
Massachusetts-New Hampshire,2026-03-02 06:52:55.249 -0500
Massachusetts-Rhode Island,2026-03-02 06:52:55.249 -0500
Michigan,2026-03-02 06:52:55.249 -0500
Minnesota,2026-03-02 06:52:55.249 -0500
Minnesota-North Dakota,2026-03-02 06:52:55.249 -0500
Minnesota-South Dakota,2026-03-02 06:52:55.249 -0500
Minnesota-Wisconsin,2026-03-02 06:52:55.249 -0500
Mississippi,2026-03-02 06:52:55.249 -0500
Mississippi-Arkansas-Tennessee,2026-03-02 06:52:55.249 -0500
Missouri,2026-03-02 06:52:55.249 -0500
Montana,2026-03-02 06:52:55.249 -0500
Illinois-Indiana,2026-03-02 06:52:55.249 -0500
Illinois-Kentucky,2026-03-02 06:52:55.249 -0500
Illinois-Missouri,2026-03-02 06:52:55.249 -0500
Indiana,2026-03-02 06:52:55.249 -0500
Indiana-Kentucky,2026-03-02 06:52:55.249 -0500
Indiana-Kentucky-Ohio,2026-03-02 06:52:55.249 -0500
Indiana-Michigan,2026-03-02 06:52:55.249 -0500
Iowa,2026-03-02 06:52:55.249 -0500
Iowa-Illinois,2026-03-02 06:52:55.249 -0500
Iowa-Nebraska,2026-03-02 06:52:55.249 -0500
Iowa-Nebraska-South Dakota,2026-03-02 06:52:55.249 -0500
Florida,2026-03-02 06:52:55.249 -0500
Georgia,2026-03-02 06:52:55.249 -0500
Georgia-Alabama,2026-03-02 06:52:55.249 -0500
Georgia-South Carolina,2026-03-02 06:52:55.249 -0500
Georgia-Tennessee,2026-03-02 06:52:55.249 -0500
Guam,2026-03-02 06:52:55.249 -0500
Hawaii,2026-03-02 06:52:55.249 -0500
Idaho,2026-03-02 06:52:55.249 -0500
Idaho-Utah,2026-03-02 06:52:55.249 -0500
Idaho-Washington,2026-03-02 06:52:55.249 -0500
Illinois,2026-03-02 06:52:55.249 -0500
