STATE_NAME,COUNTY_NAME,COUNTY_CODE,PARENT_NAME,PARENT_ID,PAYER_NAME,PAYER_ID,OVERALL,COMMERCIAL,COMMERCIAL_FI,FI_HMO,FI_PPO,FI_POS,FI_INDEMNITY,PUBLIC_HIX_INDIVIDUAL,PUBLIC_HIX_SHOP,FI_CDHP,COMMERCIAL_SI,SI_HMO,SI_PPO,SI_POS,SI_INDEMNITY,SI_CDHP,MEDICARE_ADVANTAGE_PART_C,PAYER_MANAGED_MEDICAID,MGD_MEDICAID_TITLE_19,MGD_MEDICAID_TITLE_21_CHIP,MGD_MEDICAID_SPECIALTY_PROGRAMS,MANAGED_MEDICAID_DUAL_ELIGIBLE,TRICARE,OVERALL_PCT,COMMERCIAL_PCT,COMMERCIAL_FI_PCT,FI_HMO_PCT,FI_PPO_PCT,FI_POS_PCT,FI_INDEMNITY_PCT,PUBLIC_HIX_INDIVIDUAL_PCT,PUBLIC_HIX_SHOP_PCT,FI_CDHP_PCT,COMMERCIAL_SI_PCT,SI_HMO_PCT,SI_PPO_PCT,SI_POS_PCT,SI_INDEMNITY_PCT,SI_CDHP_PCT,MEDICARE_ADVANTAGE_PART_C_PCT,PAYER_MANAGED_MEDICAID_PCT,MGD_MEDICAID_TITLE_19_PCT,MGD_MEDICAID_TITLE_21_CHIP_PCT,MGD_MEDICAID_SPECIALTY_PROGRAMS_PCT,MANAGED_MEDICAID_DUAL_ELIGIBLE_PCT,TRICARE_PCT,CREATED_AT
North Carolina,Graham County,37075,Government Employees Health Association,1063,,,20,20,20,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3400,0.8000,1.6700,0.0000,3.8500,0.0000,0.0000,0.0000,0.0000,0.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Graham County,37075,Highmark,1095,,,42,42,28,0,28,0,0,0,0,1,14,0,12,0,2,1,0,0,0,0,0,0,0,0.7200,1.6700,2.3400,0.0000,5.3800,0.0000,0.0000,0.0000,0.0000,0.8400,1.0700,0.0000,0.9800,0.0000,40.0000,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Graham County,37075,Elevance Health,1251,Anthem BlueCross BlueShield Connecticut,33,15,15,0,0,0,0,0,0,0,0,15,0,15,0,0,4,0,0,0,0,0,0,0,0.2600,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1400,0.0000,1.2300,0.0000,0.0000,1.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Graham County,37075,CVS Health,2141,,,736,592,28,0,2,0,0,26,0,5,564,0,564,0,0,156,144,0,0,0,0,0,0,12.6600,23.5800,2.3400,0.0000,0.3800,0.0000,0.0000,4.5300,0.0000,4.2000,42.9600,0.0000,46.1900,0.0000,0.0000,49.5200,11.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Graham County,37075,Centene,1005,,,887,199,199,0,0,0,0,199,0,0,0,0,0,0,0,0,22,666,436,0,230,0,0,15.2600,7.9300,16.6100,0.0000,0.0000,0.0000,0.0000,34.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7500,32.6200,24.0600,0.0000,100.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,BlueCross BlueShield Massachusetts,984,,,76,76,21,0,21,0,0,0,0,13,55,0,55,0,0,23,0,0,0,0,0,0,0,0.1500,0.2400,0.1400,0.0000,0.2200,0.0000,0.0000,0.0000,0.0000,0.5500,0.3300,0.0000,0.3700,0.0000,0.0000,0.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,BlueCross BlueShield Arizona,981,,,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,Carle Foundation,2464,Health Alliance Medical Plan (IL),266,25,25,19,0,19,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0.0500,0.0800,0.1300,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,CuraCor dba BlueCross BlueShield North Carolina,987,,,18522,13731,10400,0,8693,159,1,1547,0,1801,3331,91,3209,31,0,695,1550,3241,3241,0,0,0,0,35.5400,43.4500,70.1700,0.0000,89.3100,18.1100,10.0000,41.4400,0.0000,76.8000,19.8500,100.0000,21.5100,1.8000,0.0000,15.6000,20.6700,24.9100,27.3900,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,Elevance Health,1251,Anthem BlueCross BlueShield Nevada,38,12,12,0,0,0,0,0,0,0,0,12,0,12,0,0,3,0,0,0,0,0,0,0,0.0200,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0700,0.0000,0.0800,0.0000,0.0000,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,Elevance Health,1251,Anthem BlueCross BlueShield Wisconsin,31,21,21,0,0,0,0,0,0,0,0,21,0,21,0,0,5,0,0,0,0,0,0,0,0.0400,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1300,0.0000,0.1400,0.0000,0.0000,0.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,EmblemHealth,2096,EmblemHealth Plan,252,18,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300,0.0600,0.1200,0.0000,0.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,Health Care Service Corporation,1074,BlueCross BlueShield Illinois,86,512,512,44,0,44,0,0,0,0,6,468,0,460,0,8,77,0,0,0,0,0,0,0,0.9800,1.6200,0.3000,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.2600,2.7900,0.0000,3.0800,0.0000,15.6900,1.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,UnitedHealth Group,1231,,,6179,3034,1230,458,72,700,0,0,0,234,1804,0,113,1660,31,575,1683,1462,1462,0,0,0,0,11.8600,9.6000,8.3000,98.2800,0.7400,79.7300,0.0000,0.0000,0.0000,9.9800,10.7500,0.0000,0.7600,96.3400,60.7800,12.9000,22.4400,11.2400,12.3600,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,Premera Blue Cross,1184,Premera Blue Cross,496,6,6,2,0,2,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,0,0.0100,0.0200,0.0100,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.0300,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,Medical Mutual,1129,Medical Mutual,391,6,6,6,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100,0.0200,0.0400,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,Independence Health Group,1101,,,2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325,2325,0,0,0,0,4.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.8700,19.6500,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Granville County,37077,Highmark,1095,Highmark Blue Cross Blue Shield West Virginia,412,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Greene County,37079,Independence Health Group,1101,,,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,1230,0,0,0,0,9.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.7200,25.8300,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Greene County,37079,Highmark,1095,Highmark Blue Cross Blue Shield,321,27,27,0,0,0,0,0,0,0,0,27,0,27,0,0,1,0,0,0,0,0,0,0,0.2100,0.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8100,0.0000,0.8700,0.0000,0.0000,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Greene County,37079,EmblemHealth,2096,EmblemHealth Plan,252,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100,0.0200,0.0400,0.0000,0.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Greene County,37079,APWU Health,2382,,,3,3,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200,0.0500,0.1300,0.0000,0.7100,0.0000,0.0000,0.0000,0.0000,0.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Greene County,37079,Elevance Health,1251,,,301,301,68,0,67,1,0,0,0,36,233,0,231,2,0,74,0,0,0,0,0,0,0,2.2900,5.4000,3.0200,0.0000,15.7600,0.5300,0.0000,0.0000,0.0000,8.3500,7.0300,0.0000,7.4500,0.9800,0.0000,9.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Greene County,37079,CVS Health,2141,Aetna,8,2132,1869,417,0,70,0,3,344,0,68,1452,0,1451,0,1,401,263,0,0,0,0,0,0,16.2300,33.5500,18.4900,0.0000,16.4700,0.0000,60.0000,21.4500,0.0000,15.7800,43.7900,0.0000,46.8200,0.0000,7.6900,49.0800,11.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Greene County,37079,Carle Foundation,2464,,,9,9,7,0,7,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0.0700,0.1600,0.3100,0.0000,1.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Greene County,37079,Carle Foundation,2464,FirstCarolinaCare,223,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200,0.0400,0.0900,0.0000,0.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Greene County,37079,Centene,1005,Carolina Complete Care,1179,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,424,0,0,3.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1800,0.0000,0.0000,100.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
California,Del Norte County,6015,Medica (MN),1127,Dean Health Plan by Medica,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
California,Del Norte County,6015,Iron Road Healthcare,1229,,,17,17,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0.0800,0.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2400,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
California,Del Norte County,6015,Highmark,1095,Highmark Blue Cross Blue Shield,321,15,15,0,0,0,0,0,0,0,0,15,0,15,0,0,1,0,0,0,0,0,0,0,0.0700,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2100,0.0000,0.2200,0.0000,0.0000,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
California,Del Norte County,6015,Elevance Health,1251,Anthem BlueCross BlueShield Connecticut,33,4,4,1,0,1,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0.0200,0.0400,0.0400,0.0000,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0400,0.0000,0.0000,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
California,Del Norte County,6015,Elevance Health,1251,Wellpoint,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
California,Del Norte County,6015,Centene,1005,WellCare,644,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
California,Del Norte County,6015,BlueCross BlueShield Michigan,985,BlueCross BlueShield Michigan,87,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
California,Del Norte County,6015,APWU Health,2382,APWU Health,1027,10,10,10,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500,0.1100,0.4200,0.0000,0.8800,0.0000,0.0000,0.0000,0.0000,1.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
California,Del Norte County,6015,Rural Carrier Benefit,2443,,,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100,0.0200,0.0800,0.0000,0.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,Carle Foundation,2464,Health Alliance Medical Plan (IL),266,19,19,3,0,3,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0.0000,0.0100,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,BlueCross BlueShield Tennessee,992,,,1371,1371,226,0,226,0,0,0,0,105,1145,0,1145,0,0,526,0,0,0,0,0,0,0,0.2700,0.4900,0.2100,0.0000,0.4500,0.0000,0.0000,0.0000,0.0000,0.6600,0.6600,0.0000,0.8700,0.0000,0.0000,1.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,BlueCross BlueShield Michigan,985,BlueCross BlueShield Michigan,87,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,BlueCross BlueShield Arizona,981,,,46,46,6,0,6,0,0,0,0,1,40,0,40,0,0,21,0,0,0,0,0,0,0,0.0100,0.0200,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0100,0.0200,0.0000,0.0300,0.0000,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,Alignment Healthcare USA,2337,,,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,Rural Carrier Benefit,2443,Rural Carrier Benefit,1113,67,67,67,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100,0.0200,0.0600,0.0000,0.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,UnitedHealth Group,1231,,,122484,58500,17764,4418,1907,7817,22,3600,0,3376,40736,0,1381,38721,634,12978,27575,36409,36409,0,0,0,0,24.3600,20.8100,16.3500,90.7900,3.7700,83.7300,14.1900,8.2500,0.0000,21.2000,23.6200,0.0000,1.0500,98.9300,71.8800,26.1700,36.8500,24.7800,26.8700,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,PACE of the Triad,2225,PACE of the Triad,846,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,Molina Healthcare,1142,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,Longevity Health,2430,,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,Independence Health Group,1101,,,27398,3061,3061,396,0,0,0,2665,0,0,0,0,0,0,0,0,0,24337,24337,0,0,0,0,5.4500,1.0900,2.8200,8.1400,0.0000,0.0000,0.0000,6.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5600,17.9600,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,Highmark,1095,Highmark Blue Shield Northeastern New York,874,14,14,12,0,11,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0100,0.0000,0.0200,0.0000,0.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,HealthPartners (MN),1089,,,31,31,20,0,20,0,0,0,0,5,11,0,11,0,0,3,0,0,0,0,0,0,0,0.0100,0.0100,0.0200,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0300,0.0100,0.0000,0.0100,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,Government Employees Health Association,1063,Government Employees Health Association,245,863,863,863,0,863,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1700,0.3100,0.7900,0.0000,1.7000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,EmblemHealth,2096,EmblemHealth Plan,252,240,240,240,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500,0.0900,0.2200,0.0000,0.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,Elevance Health,1251,Anthem BlueCross BlueShield Kentucky,35,1554,1554,48,0,48,0,0,0,0,11,1506,0,1506,0,0,450,0,0,0,0,0,0,0,0.3100,0.5500,0.0400,0.0000,0.0900,0.0000,0.0000,0.0000,0.0000,0.0700,0.8700,0.0000,1.1400,0.0000,0.0000,0.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,Elevance Health,1251,Anthem BlueCross BlueShield Nevada,38,136,136,96,0,96,0,0,0,0,15,40,0,40,0,0,11,0,0,0,0,0,0,0,0.0300,0.0500,0.0900,0.0000,0.1900,0.0000,0.0000,0.0000,0.0000,0.0900,0.0200,0.0000,0.0300,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
North Carolina,Guilford County,37081,CuraCor dba BlueCross BlueShield North Carolina,987,BlueCross BlueShield North Carolina,79,126093,76150,53894,0,38169,1420,12,14293,0,9337,22256,296,21685,275,0,4641,6750,43193,43193,0,0,0,0,25.0800,27.0900,49.6200,0.0000,75.3900,15.2100,7.7400,32.7500,0.0000,58.6300,12.9100,72.9100,16.4200,0.7000,0.0000,9.3600,9.0200,29.3900,31.8700,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:23:00.633 -0500
