ZIP_CODE,STATE_NAME,PARENT_NAME,PARENT_ID,PAYER_NAME,PAYER_ID,OVERALL,COMMERCIAL,COMMERCIAL_FI,FI_HMO,FI_PPO,FI_POS,FI_INDEMNITY,PUBLIC_HIX_INDIVIDUAL,PUBLIC_HIX_SHOP,FI_CDHP,COMMERCIAL_SI,SI_HMO,SI_PPO,SI_POS,SI_INDEMNITY,SI_CDHP,MEDICARE_ADVANTAGE_PART_C,PAYER_MANAGED_MEDICAID,MGD_MEDICAID_TITLE_19,MGD_MEDICAID_TITLE_21_CHIP,MGD_MEDICAID_SPECIALTY_PROGRAMS,MANAGED_MEDICAID_DUAL_ELIGIBLE,TRICARE,CREATED_AT
90278,California,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,95,59,3,0,2,1,0,0,0,0,56,0,51,5,0,10,36,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
91763,California,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,92,85,5,0,1,4,0,0,0,0,80,0,76,4,0,16,7,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
92344,California,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,50,45,2,0,0,2,0,0,0,0,43,0,41,2,0,9,5,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
93277,California,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,157,151,0,0,0,0,0,0,0,0,151,0,146,5,0,26,6,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
94124,California,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,42,41,3,0,1,2,0,0,0,0,38,0,35,3,0,10,1,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
95388,California,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,33,31,0,0,0,0,0,0,0,0,31,0,31,0,0,5,2,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
97008,Oregon,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,74,68,7,0,5,2,0,0,0,0,61,0,52,9,0,17,6,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
97364,Oregon,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,8,8,0,0,0,0,0,0,0,0,8,0,8,0,0,7,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
98033,Washington,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,79,74,8,0,7,1,0,0,0,0,66,0,60,6,0,20,5,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
98340,Washington,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,3,2,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
98903,Washington,Elevance Health,1251,Anthem BlueCross BlueShield Georgia,85,28,28,0,0,0,0,0,0,0,0,28,0,26,2,0,2,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
70422,Louisiana,Centene,1005,Louisiana HealthCare Connections,851,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
70657,Louisiana,Centene,1005,Louisiana HealthCare Connections,851,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
71439,Louisiana,Centene,1005,Louisiana HealthCare Connections,851,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
02350,Massachusetts,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-03-02 08:27:02.243 -0500
02875,Rhode Island,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-03-02 08:27:02.243 -0500
03826,New Hampshire,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2026-03-02 08:27:02.243 -0500
04448,Maine,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2026-03-02 08:27:02.243 -0500
05060,Vermont,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-03-02 08:27:02.243 -0500
05758,Vermont,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-03-02 08:27:02.243 -0500
06339,Connecticut,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,2026-03-02 08:27:02.243 -0500
06906,Connecticut,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2026-03-02 08:27:02.243 -0500
07460,New Jersey,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2026-03-02 08:27:02.243 -0500
08007,New Jersey,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2026-03-02 08:27:02.243 -0500
08554,New Jersey,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,2026-03-02 08:27:02.243 -0500
10920,New York,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-03-02 08:27:02.243 -0500
11797,New York,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2026-03-02 08:27:02.243 -0500
12183,New York,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2026-03-02 08:27:02.243 -0500
12492,New York,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-03-02 08:27:02.243 -0500
13033,New York,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-03-02 08:27:02.243 -0500
13214,New York,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,2026-03-02 08:27:02.243 -0500
13787,New York,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-03-02 08:27:02.243 -0500
14136,New York,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2026-03-02 08:27:02.243 -0500
14842,New York,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2026-03-02 08:27:02.243 -0500
15425,Pennsylvania,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,2026-03-02 08:27:02.243 -0500
15687,Pennsylvania,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2026-03-02 08:27:02.243 -0500
15926,Pennsylvania,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2026-03-02 08:27:02.243 -0500
16311,Pennsylvania,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2026-03-02 08:27:02.243 -0500
16636,Pennsylvania,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2026-03-02 08:27:02.243 -0500
17061,Pennsylvania,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2026-03-02 08:27:02.243 -0500
17745,Pennsylvania,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-03-02 08:27:02.243 -0500
18216,Pennsylvania,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2026-03-02 08:27:02.243 -0500
18833,Pennsylvania,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-03-02 08:27:02.243 -0500
19446,Pennsylvania,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,2026-03-02 08:27:02.243 -0500
20607,Maryland,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,2026-03-02 08:27:02.243 -0500
20714,Maryland,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,2026-03-02 08:27:02.243 -0500
21146,Maryland,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,2026-03-02 08:27:02.243 -0500
21650,Maryland,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2026-03-02 08:27:02.243 -0500
22842,Virginia,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2026-03-02 08:27:02.243 -0500
23123,Virginia,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2026-03-02 08:27:02.243 -0500
23832,Virginia,Humana,1100,Humana Military Healthcare Services,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304,2026-03-02 08:27:02.243 -0500
