CLINIC_NAME,STATE_CODE,ZIP_CODE
-,AK,99622
-,AK,99628
-,AK,99638
-,AK,99651
-,AK,99655
-,AK,99665
-,AK,99681
-,AK,99747
-,AK,99761
-,AK,99774
-,AK,99775
-,AK,99778
CT-Glastonbury,CT,06023
CT-Glastonbury,CT,06027
CT-Glastonbury,CT,06040
CT-Glastonbury,CT,06042
CT-Glastonbury,CT,06051
CT-Glastonbury,CT,06053
CT-Glastonbury,CT,06066
CT-Glastonbury,CT,06067
CT-Glastonbury,CT,06073
CT-Glastonbury,CT,06074
CT-Glastonbury,CT,06103
CT-Glastonbury,CT,06106
CT-Glastonbury,CT,06108
CT-Glastonbury,CT,06109
CT-Glastonbury,CT,06111
CT-Glastonbury,CT,06112
CT-Glastonbury,CT,06114
CT-Glastonbury,CT,06118
CT-Glastonbury,CT,06231
CT-Glastonbury,CT,06248
CT-Glastonbury,CT,06249
CT-Glastonbury,CT,06333
CT-Glastonbury,CT,06373
CT-Glastonbury,CT,06414
CT-Glastonbury,CT,06415
CT-Glastonbury,CT,06416
CT-Glastonbury,CT,06447
CT-Glastonbury,CT,06480
CT-Stamford,CT,06091
CT-Stamford,CT,06095
CT-Stamford,CT,06096
CT-Stamford,CT,06807
CT-Stamford,CT,06820
CT-Stamford,CT,06830
CT-Stamford,CT,06831
CT-Stamford,CT,06840
CT-Stamford,CT,06851
CT-Stamford,CT,06853
CT-Stamford,CT,06854
CT-Stamford,CT,06870
CT-Stamford,CT,06902
CT-Stamford,CT,06903
CT-Stamford,CT,06905
CT-Stamford,CT,06906
DC-Washington,DC,20002
DC-Washington,DC,20003
DC-Washington,DC,20019
DC-Washington,DC,20020
DC-Washington,DC,20024
DC-Washington,DC,20032
DC-Washington,DC,20319
DC-Washington,MD,20743
DC-Washington,MD,20744
DC-Washington,MD,20746
DC-Washington,MD,20747
DC-Washington,MD,20748
DC-Washington,MD,20785
DE-New Castle,DE,19701
DE-New Castle,DE,19702
DE-New Castle,DE,19703
DE-New Castle,DE,19706
DE-New Castle,DE,19707
DE-New Castle,DE,19709
DE-New Castle,DE,19711
DE-New Castle,DE,19713
DE-New Castle,DE,19717
DE-New Castle,DE,19720
DE-New Castle,DE,19730
DE-New Castle,DE,19731
DE-New Castle,DE,19733
DE-New Castle,DE,19801
DE-New Castle,DE,19803
DE-New Castle,DE,19804
DE-New Castle,DE,19805
DE-New Castle,DE,19808
DE-New Castle,DE,19809
DE-New Castle,DE,19810
FL-Boca Raton,FL,33064
FL-Boca Raton,FL,33428
FL-Boca Raton,FL,33076
FL-Boca Raton,FL,33433
FL-Boca Raton,FL,33073
FL-Boca Raton,FL,33441
FL-Boca Raton,FL,33442
FL-Boca Raton,FL,33486
FL-Boca Raton,FL,33432
FL-Boca Raton,FL,33431
FL-Boca Raton,FL,33496
FL-Boca Raton,FL,33487
FL-Boynton Beach,FL,33463
FL-Boynton Beach,FL,33461
FL-Boynton Beach,FL,33436
FL-Boynton Beach,FL,33460
FL-Boynton Beach,FL,33435
FL-Boynton Beach,FL,33462
FL-Boynton Beach,FL,33437
FL-Boynton Beach,FL,33446
FL-Boynton Beach,FL,33426
FL-Boynton Beach,FL,33484
FL-Boynton Beach,FL,33472
FL-Boynton Beach,FL,33483
FL-Boynton Beach,FL,33473
FL-Celebration,FL,32837
FL-Celebration,FL,34746
FL-Celebration,FL,32821
FL-Celebration,FL,34758
FL-Celebration,FL,34759
FL-Celebration,FL,33837
FL-Celebration,FL,34747
FL-Celebration,FL,33848
FL-Celebration,FL,34797
FL-Celebration,FL,32830
FL-Jacksonville,GA,31548
FL-Jacksonville,GA,31558
FL-Jacksonville,GA,31569
FL-Jacksonville,FL,32259
FL-Jacksonville,FL,32218
FL-Jacksonville,FL,32210
FL-Jacksonville,FL,32244
FL-Jacksonville,FL,32246
FL-Jacksonville,FL,32068
FL-Jacksonville,FL,32225
FL-Jacksonville,FL,32256
FL-Jacksonville,FL,32216
FL-Jacksonville,FL,32034
FL-Jacksonville,FL,32257
FL-Jacksonville,FL,32207
FL-Jacksonville,FL,32209
FL-Jacksonville,FL,32277
FL-Jacksonville,FL,32205
FL-Jacksonville,FL,32208
FL-Jacksonville,FL,32250
FL-Jacksonville,FL,32097
FL-Jacksonville,FL,32223
FL-Jacksonville,FL,32206
FL-Jacksonville,FL,32217
FL-Jacksonville,FL,32046
FL-Jacksonville,FL,32266
FL-Jacksonville,FL,32234
FL-Jacksonville,FL,32228
FL-Jacksonville,FL,32212
FL-Jensen Beach,FL,34953
FL-Jensen Beach,FL,34983
FL-Jensen Beach,FL,34952
FL-Jensen Beach,FL,34997
FL-Jensen Beach,FL,34982
FL-Jensen Beach,FL,34986
FL-Jensen Beach,FL,34990
FL-Jensen Beach,FL,34957
FL-Jensen Beach,FL,34950
FL-Jensen Beach,FL,34984
FL-Jensen Beach,FL,34947
FL-Jensen Beach,FL,34994
FL-Jensen Beach,FL,34987
FL-Jensen Beach,FL,34996
FL-Jensen Beach,FL,34981
FL-Lakeland,FL,33810
FL-Lakeland,FL,33880
FL-Lakeland,FL,33801
FL-Lakeland,FL,33881
FL-Lakeland,FL,33563
FL-Lakeland,FL,33823
FL-Lakeland,FL,33830
FL-Lakeland,FL,33813
FL-Lakeland,FL,33803
FL-Lakeland,FL,33860
FL-Lakeland,FL,33566
FL-Lakeland,FL,33805
FL-Lakeland,FL,33811
FL-Lakeland,FL,33565
FL-Lakeland,FL,33815
FL-Lakeland,FL,33812
FL-Lakeland,FL,33839
FL-Lakeland,FL,33840
FL-Longwood,FL,32771
FL-Longwood,FL,32703
FL-Longwood,FL,32712
FL-Longwood,FL,32708
FL-Longwood,FL,32746
FL-Longwood,FL,32714
FL-Longwood,FL,32707
FL-Longwood,FL,32810
FL-Longwood,FL,32773
FL-Longwood,FL,32779
FL-Longwood,FL,32750
FL-Longwood,FL,32701
FL-Longwood,FL,32751
FL-Longwood,FL,32804
FL-Longwood,FL,32730
FL-Miramar,FL,33024
FL-Miramar,FL,33025
FL-Miramar,FL,33023
FL-Miramar,FL,33027
FL-Miramar,FL,33015
FL-Miramar,FL,33021
FL-Miramar,FL,33029
FL-Miramar,FL,33161
FL-Miramar,FL,33009
FL-Miramar,FL,33018
FL-Miramar,FL,33016
FL-Miramar,FL,33179
FL-Miramar,FL,33162
FL-Miramar,FL,33055
FL-Miramar,FL,33326
FL-Miramar,FL,33014
FL-Miramar,FL,33030
FL-Miramar,FL,33160
FL-Miramar,FL,33328
FL-Miramar,FL,33056
FL-Miramar,FL,33026
FL-Miramar,FL,33054
FL-Miramar,FL,33031
FL-Oakland Park,FL,33311
FL-Oakland Park,FL,33312
FL-Oakland Park,FL,33020
FL-Oakland Park,FL,33317
FL-Oakland Park,FL,33309
FL-Oakland Park,FL,33060
FL-Oakland Park,FL,33322
FL-Oakland Park,FL,33334
FL-Oakland Park,FL,33314
FL-Oakland Park,FL,33308
FL-Oakland Park,FL,33304
FL-Oakland Park,FL,33301
FL-Oakland Park,FL,33305
FL-Oakland Park,FL,33316
FL-Oakland Park,FL,33332
FL-Oakland Park,FL,33306
FL-Orlando,FL,34787
FL-Orlando,FL,32839
FL-Orlando,FL,32822
FL-Orlando,FL,32808
FL-Orlando,FL,34761
FL-Orlando,FL,32818
FL-Orlando,FL,32835
FL-Orlando,FL,34786
FL-Orlando,FL,32811
FL-Orlando,FL,32819
FL-Orlando,FL,32806
FL-Orlando,FL,32789
FL-Orlando,FL,34734
FL-Orlando,FL,34760
FL-Orlando-east,FL,32825
FL-Orlando-east,FL,32817
FL-Palm Beach Gardens,FL,33458
FL-Palm Beach Gardens,FL,33418
FL-Palm Beach Gardens,FL,33410
FL-Palm Beach Gardens,FL,33407
FL-Palm Beach Gardens,FL,33401
FL-Palm Beach Gardens,FL,33404
FL-Palm Beach Gardens,FL,33408
FL-Palm Beach Gardens,FL,33412
FL-Palm Beach Gardens,FL,33478
FL-Palm Beach Gardens,FL,33403
FL-Palm Beach Gardens,FL,33477
FL-Royal Palm Beach,FL,33411
FL-Royal Palm Beach,FL,33414
FL-Royal Palm Beach,FL,33415
FL-Royal Palm Beach,FL,33467
FL-Royal Palm Beach,FL,33409
FL-Royal Palm Beach,FL,33406
FL-Royal Palm Beach,FL,33417
FL-Royal Palm Beach,FL,33413
FL-Royal Palm Beach,FL,33449
FL-Tamarac,FL,33313
FL-Tamarac,FL,33068
FL-Tamarac,FL,33065
FL-Tamarac,FL,33063
FL-Tamarac,FL,33319
FL-Tamarac,FL,33324
FL-Tamarac,FL,33321
FL-Tamarac,FL,33071
FL-Tamarac,FL,33351
FL-Tamarac,FL,33325
FL-Tamarac,FL,33069
FL-Tamarac,FL,33028
